内容,分词,分词文本,情感标签,情感置信度
已三连，求分享完整教程,"['已三连', '分享', '完整', '教程']",已三连 分享 完整 教程,positive,0.9760538339614868
已关注 求完整教程,"['关注', '完整', '教程']",关注 完整 教程,positive,0.9717378616333008
再剪一缕头发,"['再剪', '一缕', '头发']",再剪 一缕 头发,positive,0.7381041049957275
属实是一个敢说，一个敢做。。。,['属实'],属实,positive,0.5455368757247925
有了娃就知道这句妈妈有多厉害,"['知道', '这句', '妈妈', '厉害']",知道 这句 妈妈 厉害,positive,0.9872242212295532
机器人表示：你们先活过这个世纪再来和我聊,"['机器人', '表示', '先活', '世纪', '再来']",机器人 表示 先活 世纪 再来,positive,0.6419880986213684
男人就是很理智，亲儿子和机器人分的很清楚,"['男人', '理智', '亲儿子', '机器人', '清楚']",男人 理智 亲儿子 机器人 清楚,positive,0.9891114830970764
赛博皮条客,"['赛博', '皮条客']",赛博 皮条客,positive,0.9099349975585938
这没有一个指纹检测是真逆天，机器人完全没必要有指纹而且机器人完全可以塞一个身份证在机体里，并且指纹检测仪也只要在手柄上就行,"['没有', '指纹', '检测', '真逆天', '机器人', '完全', '必要', '指纹', '机器人', '完全', '身份证', '机体', '指纹', '检测仪', '手柄']",没有 指纹 检测 真逆天 机器人 完全 必要 指纹 机器人 完全 身份证 机体 指纹 检测仪 手柄,negative,0.9483165144920349
乔的意识也觉醒啦。他是一个存在，而不是一个工具。,"['意识', '觉醒', '存在', '不是', '工具']",意识 觉醒 存在 不是 工具,positive,0.9827014803886414
自我意识的坍塌，绝望的孩子,"['自我意识', '坍塌', '绝望', '孩子']",自我意识 坍塌 绝望 孩子,negative,0.5563926696777344
那些孩子光想着欺负他，丢了命也是活该，有个词叫自作自受,"['孩子', '想着', '欺负', '活该', '有个', '自作自受']",孩子 想着 欺负 活该 有个 自作自受,positive,0.905602753162384
华为异变了,"['华为', '异变']",华为 异变,positive,0.5297724008560181
欢乐谷效应:越像人的机器，越让人恐惧,"['欢乐谷', '效应', '越像', '机器', '恐惧']",欢乐谷 效应 越像 机器 恐惧,negative,0.5667158365249634
很经典的一幕,"['经典', '一幕']",经典 一幕,positive,0.9937312006950378
这不就和人遗弃猫狗一样始终是当个玩物,"['遗弃', '始终', '当个', '玩物']",遗弃 始终 当个 玩物,negative,0.8388609886169434
我觉得比那些都精彩,"['觉得', '精彩']",觉得 精彩,positive,0.9782525897026062
小时候看这段的时候吓的跑去找妈妈，觉得自己的妈妈也只能存活一天2333,"['小时候', '这段', '妈妈', '觉得', '妈妈', '只能', '存活', '一天']",小时候 这段 妈妈 觉得 妈妈 只能 存活 一天,positive,0.9917938113212585
是古希腊文明优化了基督教，使其具有普世性，而非反过来。西方人没有了宗教也还会有源于古希腊文明的契约、规则和制度约束。,"['古希腊', '文明', '优化', '基督教', '具有', '普世性', '西方人', '没有', '宗教', '源于', '古希腊', '文明', '契约', '规则', '制度', '约束']",古希腊 文明 优化 基督教 具有 普世性 西方人 没有 宗教 源于 古希腊 文明 契约 规则 制度 约束,positive,0.9904042482376099
这段把我个大男人看得哭死,"['这段', '男人', '看得']",这段 男人 看得,positive,0.6435995697975159
不会，我觉得这个电影超级好看,"['不会', '觉得', '电影', '超级', '好看']",不会 觉得 电影 超级 好看,positive,0.9871642589569092
不会吧 我觉得超好看的,"['不会', '觉得', '好看']",不会 觉得 好看,positive,0.8516868352890015
底特律变人里有段类似的,"['底特律', '变人里', '类似']",底特律 变人里 类似,positive,0.8058462738990784
阿丽塔眼睛太夸张了，剧情也不太好,"['阿丽塔', '眼睛', '夸张', '剧情', '不太好']",阿丽塔 眼睛 夸张 剧情 不太好,negative,0.6441707015037537
正因为有死亡，生命才有了价值和意义。,"['死亡', '生命', '价值', '意义']",死亡 生命 价值 意义,positive,0.9872948527336121
亨利也很冷漠，他把大卫当工具。妈妈身上还有稍纵即逝的温情和爱。,"['亨利', '冷漠', '大卫', '工具', '妈妈', '身上', '稍纵即逝', '温情']",亨利 冷漠 大卫 工具 妈妈 身上 稍纵即逝 温情,positive,0.9923239946365356
不能否认他在成长呀。虽然片子属于古希腊的悲剧体系，无法改变的宿命。,"['不能', '否认', '成长', '片子', '属于', '古希腊', '悲剧', '体系', '无法', '改变', '宿命']",不能 否认 成长 片子 属于 古希腊 悲剧 体系 无法 改变 宿命,positive,0.9454811811447144
这部片子现在也能打动我。他是经典。,"['这部', '片子', '现在', '打动', '经典']",这部 片子 现在 打动 经典,positive,0.9911728501319885
