word,count
人类,462
AI,449
不是,329
ai,297
现在,218
没有,217
函数,184
人工智能,183
可能,181
问题,175
学习,166
智能,159
知道,156
已经,145
视频,137
人工,122
理解,121
真的,121
模型,118
需要,113
感觉,111
哈哈哈,110
不会,101
不能,99
应该,98
世界,98
机器,98
其实,88
机器人,84
up,83
老师,83
前面,82
出来,80
是不是,75
拟合,73
神经网络,71
觉得,70
直接,69
这是,68
一定,68
数学,68
数据,67
计算机,67
东西,66
语言,63
发展,62
doge,62
训练,62
技术,61
非常,61
看到,60
确实,60
实现,59
梯度,59
一下,58
好像,57
很多,56
简单,56
算法,55
知识,55
UP,55
有点,54
这种,54
地球,54
完全,52
逻辑,52
电影,52
大佬,51
一种,51
未来,50
奥特曼,48
工作,47
预测,47
喜欢,47
人脑,47
美国,46
创造,46
生物,46
听不懂,46
生命,45
识别,45
时代,45
觉醒,44
本质,44
科技,43
意识,42
宇宙,41
发现,41
只能,41
概率,41
出现,41
算力,41
马斯克,40
最优,40
导数,40
听懂,40
有没有,39
不要,39
起来,38
厉害,38
原来,38
观看,38
参数,38
进化,38
一点,38
计算,38
不够,38
大家,38
研究,38
不到,37
之前,37
信息,37
存在,37
不错,36
表示,36
无法,36
有人,36
时间,36
不同,36
印度,36
解决,36
符号,35
意思,35
毁灭,35
取代,35
说话,35
机械,35
奖励,35
方式,34
思考,34
求导,34
输入,34
肯定,33
以后,33
经典,33
苹果,32
支持,32
主义,32
之后,32
绝对值,31
局部,31
真正,31
特征,31
不了,31
生成,31
不行,31
谢谢,31
意义,30
早就,30
基础,30
现实,30
系统,30
实名,30
认为,30
大脑,30
deepseek,30
最后,30
反向,30
能力,30
首席,29
网络,29
复杂,29
深度,29
后面,29
弹幕,29
哈哈哈哈,29
感谢,28
公司,28
开源,28
终于,28
变成,28
明白,28
赛博,28
文明,28
使用,28
失业,28
大学,28
下降,28
资料,27
不用,27
外星人,27
根本,27
了解,27
控制,27
本身,27
判断,27
AGI,27
平方,26
过程,26
每个,26
加油,26
成为,26
基本,26
超越,26
原理,26
希望,26
影响,25
国内,25
目前,25
断电,25
居然,25
底层,25
损失,25
中国,24
重要,24
魔法,24
真是,24
社会,24
终结者,24
为啥,24
看看,24
数字,24
以为,24
模拟,24
代码,24
难道,24
学到,24
办法,24
理论,24
传播,24
定义,24
微软,23
中文,23
方法,23
Ai,23
自我,23
能源,23
绝对,23
线性,23
是因为,23
进行,23
类似,23
规律,23
图片,23
期待,23
里面,23
探索,22
来说,22
突然,22
动画,22
别学,22
永远,22
不想,22
别人,22
聪明,22
高数,22
生活,22
比较,22
无限,22
一次,22
开发,22
语法,22
黑箱,22
电脑,22
好好,21
看过,21
输出,21
看不懂,21
部分,21
概念,21
第一,21
方向,21
规则,21
孩子,21
正在,21
个人,21
英语,21
领域,21
GPT,21
事情,20
制造,20
激活,20
关系,20
到此一游,20
回归,20
硅基,20
朋友,20
优化,20
思维,20
两个,20
才能,20
不好,20
模仿,20
消灭,20
游戏,20
正确,19
产生,19
情况,19
量子,19
矩阵,19
本来,19
三连,19
大部分,19
科学,19
工具,19
所有,19
老婆,19
图灵,19
回答,19
惩罚,19
股票,18
智慧,18
必须,18
分析,18
处理,18
伟达,18
泰勒,18
gpt,18
找到,18
打卡,18
天网,18
全是,18
炒作,18
学过,18
选择,18
干嘛,18
关注,18
自动,18
就行了,18
高级,18
例子,18
用来,18
内容,18
必要,18
权重,18
一步,18
相信,17
能够,17
小朋友,17
做到,17
身体,17
灵魂,17
区别,17
提出,17
all,17
历史,17
行为,17
微积分,17
以前,17
基于,17
分钟,17
公式,17
最终,17
原因,17
高中,17
想到,17
启动,17
努力,17
联系,17
胜券在握,17
是否,17
测试,17
太好了,17
区分,17
需求,17
复合,17
秋芝,17
万物,17
统计,17
搞笑,16
形象,16
宝藏,16
碳基,16
很大,16
function,16
提升,16
故事,16
符合,16
偏导,16
认知,16
价值,16
说明,16
像是,16
好看,16
成功,16
已三连,16
今天,16
小时,16
好多,16
感知机,16
收藏,16
普通人,16
分享,16
限制,16
实际上,16
得到,16
诈骗,15
进步,15
课程,15
正常,15
一天,15
有点像,15
显卡,15
容易,15
可怕,15
当时,15
计划,15
最好,15
位置,15
告诉,15
视觉,15
全部,15
奥创,15
观点,15
神经,15
小时候,15
成本,15
吹牛,15
愿意,15
属于,15
地方,15
神经元,15
专业,15
就要,15
想法,15
明天,15
工人,15
想要,15
线性代数,15
越来越,15
错误,15
it,15
强化,14
黑客帝国,14
辛苦,14
条件,14
硬件,14
you,14
学会,14
注意,14
伟大,14
生产力,14
自然,14
画面,14
机制,14
迭代,14
有个,14
思路,14
思想,14
差不多,14
在线,14
赶紧,14
想象,14
空间,14
统计学,14
小米,14
增加,14
职业,14
李老师,14
回来,14
淘汰,14
记住,14
反正,14
所谓,14
运算,14
导致,14
PPT,14
认识,14
脑子,14
变化,14
西方,14
足够,14
结构,14
更新,14
调整,14
编程,14
啊啊啊,14
答案,14
描述,14
好事,14
图像,13
要求,13
像素,13
诞生,13
维度,13
拥有,13
合理,13
学校,13
is,13
我要,13
天才,13
广告,13
阿三,13
向量,13
速度,13
解释,13
恐怖,13
最小,13
芯片,13
一遍,13
还要,13
分配,13
实际,13
样子,13
小学,13
毕竟,13
时刻,13
模式,13
展开,13
乐观,13
石头,13
提供,13
真实,13
超级,13
翻译,13
程序,13
股价,13
全局,13
国家,13
当然,13
只会,13
非线性,13
主要,13
黑盒,13
这句,13
飞升,13
行业,13
战争,13
空格,13
完成,13
没错,13
设计,12
利用,12
水平,12
一起,12
组合,12
工资,12
物理,12
比喻,12
科普,12
软件,12
客服,12
卧槽,12
狗头,12
字幕,12
三哥,12
利益,12
爆炸,12
不断,12
更加,12
懒汉,12
同学,12
香农,12
发生,12
背后,12
兄弟,12
更好,12
目的,12
程序员,12
避免,12
发明,12
马赛克,12
估计,12
抽象,12
the,12
此事,12
感到,12
投资,12
可控,12
明显,12
电源,12
太牛,12
巨大,12
看起来,12
剧情,12
这段,12
睡觉,12
妈妈,12
确定,12
简直,12
梦想,12
金融,11
这才,11
贾跃亭,11
样本,11
免费,11
进入,11
证明,11
表达,11
第一个,11
替代,11
说白了,11
物体,11
相当于,11
炼丹,11
等于,11
应用,11
科学家,11
最大,11
或许,11
你好,11
道理,11
资源,11
突破,11
做出,11
监督,11
记载,11
必然,11
功能,11
眼睛,11
听到,11
情感,11
就算,11
变量,11
分类,11
方差,11
验证码,11
名字,11
考试,11
整个,11
报道,11
强大,11
赚钱,11
能量,11
通用,11
手机,11
超过,11
文字,11
研发,11
乌龟,11
效率,10
创新,10
统治,10
极限,10
我来,10
美好,10
大卫,10
太多,10
神奇,10
最近,10
麻烦,10
改变,10
到时候,10
可爱,10
准备,10
代表,10
论文,10
教育,10
没事,10
达到,10
恭喜,10
打开,10
法师,10
加入,10
后来,10
总结,10
印度人,10
趋势,10
不算,10
形式,10
生存,10
变形金刚,10
过来,10
参与,10
一口气,10
点赞,10
几年,10
生产,10
有用,10
连续,10
绿色,10
几个,10
三个,10
声音,10
熟悉,10
程度,10
准确,10
agi,10
很难,10
学生,10
奇点,10
具有,10
人才,10
误差,10
担心,10
经验,10
活着,10
人性,10
来看,10
满分,10
幻想,10
习惯,10
赋能,10
三体,10
到底,10
英文,10
照片,10
华为,10
上帝,10
造神,9
每日,9
提高,9
对抗,9
质变,9
阶段,9
中间,9
当年,9
焦虑,9
漫士,9
sora,9
登月,9
进度条,9
太美,9
看吧,9
聊天,9
到来,9
想起,9
掌握,9
底特律,9
异或,9
病毒,9
好评,9
并非,9
下去,9
奇怪,9
考虑,9
也许,9
好奇,9
推导,9
随机,9
玩意,9
快点,9
标准,9
继续,9
朋克,9
危言耸听,9
决定,9
保护,9
相对,9
链式法则,9
攻击,9
老板,9
一段,9
实在,9
国外,9
投币,9
贾老板,9
代数,9
卷积,9
劳动,9
清楚,9
黑板,9
发布,9
人们,9
哥们,9
没什么,9
你们好,9
大量,9
一句,9
不敢,9
联结,9
关键,9
头发,9
下面,9
康纳,9
欢迎,9
那种,9
落后,9
世纪,9
要来,9
初中,9
引入,9
离散数学,9
深刻,9
工智人,9
核聚变,9
接受,9
贪心,9
记得,9
幽默,9
道德,9
有生之年,9
运动,9
威震,9
ppt,9
方面,9
谷歌,9
完形填空,9
一边,9
不住,9
自主,9
openai,9
平衡,9
教授,9
哲学,9
司机,9
没法,9
危险,8
听听,8
终极,8
信号,8
不可,8
多个,8
股市,8
系列,8
建议,8
属性,8
衡量,8
盒子,8
bushi,8
科幻,8
吃饭,8
具体,8
小孩,8
变得,8
来自,8
市场,8
反应,8
一集,8
全球,8
电子,8
就业,8
阻止,8
葡萄,8
专家,8
泛化,8
项目,8
验证,8
专家系统,8
人机,8
青苹果,8
上限,8
全民,8
全面,8
结合,8
完美,8
大神,8
收藏夹,8
建立,8
长得,8
太棒了,8
奇迹,8
噪声,8
特斯拉,8
人生,8
表现,8
前来,8
形成,8
巫师,8
逐渐,8
结局,8
之间,8
骗子,8
这下,8
魅力,8
我勒个,8
决策,8
need,8
请问,8
距离,8
内行,8
作用,8
适合,8
诺贝尔,8
多人,8
毛病,8
火星,8
一生,8
带来,8
员工,8
场景,8
先进,8
很快,8
中学,8
值得,8
泡沫,8
多元,8
永生,8
创业,8
味道,8
小说,8
第一次,8
骗局,8
3b1b,8
文化,8
颜色,8
没人,8
星际,8
劝退,8
往往,8
多年,8
分辨,8
数值,8
感受,8
艺术,8
注意力,8
推理,8
产品,8
算是,8
遥遥领先,8
消失,8
不愧,8
连接,8
标题,8
前提,8
相同,7
高考,7
嗓子,7
不足,7
夸张,7
收下,7
起点,7
不让,7
预言,7
膝盖,7
模糊,7
人造,7
大哥,7
工业革命,7
废话,7
大海,7
财富,7
至少,7
全知全能,7
生产关系,7
提前,7
次方,7
依然,7
尝试,7
阿婆,7
文案,7
给出,7
动物,7
评价,7
大概,7
写作文,7
语音,7
邓超,7
旋钮,7
总是,7
乘法,7
获得,7
感性,7
指数,7
正负,7
物质,7
任务,7
无敌,7
任意,7
疯狂,7
精神,7
印象,7
法则,7
内部,7
减少,7
管理,7
巨头,7
相关,7
今年,7
人会,7
刚才,7
就行,7
考研,7
系数,7
的确,7
新闻学,7
加上,7
基因,7
这部,7
白盒,7
利好,7
量变,7
提问,7
男人,7
保证,7
if,7
狂喜,7
过度,7
说不定,7
牛顿,7
无所谓,7
进来,7
有意识,7
牛马,7
山姆,7
感情,7
二年级,7
bgm,7
盈利,7
无关,7
嘿嘿,7
没想到,7
人为,7
变人,7
好听,7
降临,7
重力,7
金钱,7
环境,7
真人,7
概率论,7
o1,7
作业,7
工厂,7
操作,7
风格,7
fake,7
电力,7
CEO,7
很棒,7
推荐,7
质量,7
结束,7
反而,7
经济,7
资本,7
UBI,7
完整,7
手段,7
插值,7
陀螺仪,7
make,7
上课,7
寻找,7
投入,7
够不够,7
理工,7
何尝,7
产业,7
解放,7
变换,7
偏差,7
放弃,7
平面,7
性别,7
从未,7
机会,7
一部分,7
讲得,7
威胁,6
差距,6
钢铁,6
哪来,6
结论,6
服务,6
五个,6
上海,6
停电,6
ASI,6
一根,6
工业,6
因素,6
驱动,6
怀疑,6
自信,6
沟通,6
体系,6
张哲,6
破坏,6
离散,6
角度,6
token,6
特殊,6
悲观,6
离谱,6
古希腊,6
直呼,6
哔哩,6
播放,6
变化率,6
事物,6
实力,6
考古,6
打破,6
一部,6
终将,6
神仙,6
极值,6
晚上,6
中医,6
这部分,6
in,6
open,6
穷人,6
女友,6
可不可以,6
老实,6
相关性,6
评分,6
猴子,6
共存,6
接近,6
房价,6
唯一,6
刘明,6
输入法,6
大多数,6
张祥前,6
豆包,6
多维,6
空洞,6
欧美,6
宝宝,6
精彩,6
西瓜,6
一堆,6
镜头,6
模拟退火,6
飞机,6
罗素,6
风险,6
大力,6
全人类,6
方便,6
写作,6
还会,6
工程师,6
循环,6
路径,6
在意,6
virus,6
扩散,6
仿生,6
computer,6
seek,6
厕所,6
机车,6
成长,6
原神,6
增长,6
注定,6
moss,6
刘邦,6
赋予,6
对应,6
数据库,6
制作,6
良心,6
认真,6
规划,6
西部,6
不少,6
BGM,6
记忆,6
美元,6
效应,6
设定,6
交流,6
感知,6
外卖,6
互联网,6
高等,6
看来,6
设置,6
压缩,6
全世界,6
融合,6
架构,6
危机,6
回家,6
上班,6
硬币,6
擅长,6
当成,6
传销,6
快乐,6
造成,6
一眼,6
掌控,6
my,6
贝叶斯,6
不太,6
新闻,6
太长,6
一半,6
放大,6
优势,6
激情,6
一台,6
马上,6
包括,6
身上,6
几十年,6
he,6
集合,6
血肉,6
相似,6
hhh,6
一套,6
一年,6
负数,6
打败,6
光子,6
放在,6
经历,6
追踪,6
好处,6
体现,6
优秀,6
欲望,6
行动,6
俄罗斯,6
自我意识,6
混凝土,6
维斯,6
同意,6
体验,6
狐狸,6
帮助,6
身份,6
车夫,6
不合理,6
实验,6
政治,6
睡着,6
学阀,6
虚拟世界,6
显然,6
黄金时代,6
好家伙,6
解决问题,5
多久,5
动态,5
挑战,5
纪录片,5
极大,5
打个,5
来个,5
万亿,5
泄露,5
表白,5
肉体,5
听说,5
真棒,5
年代,5
父母,5
苦弱,5
造物主,5
噩梦,5
害怕,5
光荣,5
慢慢,5
汉弗莱,5
转化,5
手里,5
失控,5
当下,5
享受,5
教程,5
博主,5
岗位,5
暂停,5
拜登,5
我成,5
活在,5
目标,5
感人,5
一条,5
死去,5
现象,5
看见,5
终点,5
通辽,5
真理,5
筛选,5
记录,5
泛函,5
刚刚,5
停止,5
不服,5
状态,5
四川,5
太空,5
理想,5
哪有,5
匹配,5
数量,5
活人,5
开拓,5
李飞飞,5
分布,5
考点,5
近似,5
说到底,5
语义,5
即将,5
李永乐,5
工程,5
令人,5
客观,5
老马,5
讲过,5
发财,5
代替,5
怪不得,5
最优化,5
展示,5
生成式,5
最值,5
消耗,5
无穷,5
称之为,5
经常,5
降低,5
少数,5
低保,5
来到,5
意大利,5
人员,5
动力,5
DeepSeek,5
懂得,5
左右,5
不看,5
彻底,5
有钱,5
潘多拉,5
难怪,5
警告,5
氛围,5
物理奖,5
真有,5
进去,5
....,5
导演,5
ubi,5
有限,5
所有人,5
deep,5
女人,5
生理,5
普通,5
大师,5
--,5
效果,5
熊猫,5
相加,5
宠物,5
老铁,5
玄学,5
纬度,5
看成,5
一个月,5
面包,5
人类文明,5
竟然,5
只不过,5
谷物,5
死亡,5
添加,5
单纯,5
放心,5
天天,5
内涵,5
我能,5
运行,5
最低点,5
组成,5
培养,5
几乎,5
多数,5
直到,5
智力,5
显示,5
叛乱,5
铁人,5
灭绝,5
套娃,5
物种,5
从小,5
ceo,5
每天,5
刺激,5
使命,5
过于,5
机械公敌,5
非得,5
约束,5
一方,5
汽车,5
挖矿,5
传递,5
拉格朗,5
发福,5
某种,5
稍微,5
在于,5
your,5
偏向,5
这方面,5
上市,5
解雇,5
得出,5
苏联,5
整体,5
互相,5
差异,5
稳定,5
群星,5
收入,5
回路,5
用户,5
高效,5
永动机,5
上学,5
倍速,5
突触,5
看着,5
来源,5
简称,5
精准,5
发电,5
精通,5
正向,5
养成,5
发型,5
解析,5
分别,5
平方和,5
正片,5
敌人,5
评判,5
命名,5
恐惧,5
上面,5
供给,5
人能,5
有趣,5
三维,5
仔细,5
力大砖,5
剩下,5
sigmoid,5
引擎,5
魔法师,5
宣传,5
困难,5
团队,5
买单,5
自然语言,5
因果,5
精度,5
关联,5
看不到,5
立马,5
领导,5
like,5
这位,5
或者说,5
因果性,5
十年,5
100%,5
星辰,5
火钳,5
不信,5
海量,5
平均,5
啥意思,5
星球,5
它会,5
接触,5
做好,5
核心,5
LGBT,5
皮衣,5
封面,5
力量,5
就学,5
纪元,5
元素,5
企业,5
接下来,5
get,5
炒股,5
一键,5
鸿蒙,5
是从,5
武器,5
太小,5
造出来,5
清洁,5
善文,5
开启,5
一层,5
兴奋,4
提子,4
富人,4
二战,4
超市,4
t800,4
by,4
要素,4
最先,4
教会,4
材料,4
媒体,4
刻板,4
没关系,4
升华,4
无聊,4
嘟嘟,4
成绩,4
常见,4
world,4
短期,4
讨厌,4
几次,4
硬核,4
屏幕,4
片子,4
大战,4
检测,4
陷入,4
阈值,4
大于,4
第二次,4
入门,4
量化,4
曾经,4
太大,4
瞬时,4
主人,4
诚不欺,4
难受,4
性质,4
标注,4
标签,4
数学家,4
代价,4
IT,4
一场,4
翻身,4
全都,4
词语,4
我悟,4
自动化,4
自由,4
拼接,4
下笔,4
左边,4
刚好,4
右边,4
逆向,4
人形,4
洗脑,4
即答,4
皇后,4
man,4
小白,4
读书,4
理智,4
恩斯,4
书读,4
垄断,4
分配制度,4
小伙伴,4
粉笔,4
be,4
作文,4
诗人,4
年收入,4
视角,4
犹太人,4
兴趣,4
仙人,4
试试,4
一顿,4
狂笑,4
对象,4
孤独,4
韭菜,4
回复,4
正是,4
致敬,4
妈咪,4
太太,4
阻止不了,4
来源于,4
像素点,4
粒子,4
散文,4
典型,4
三分,4
基本上,4
战鹰,4
再来,4
rap,4
新世界,4
公务员,4
杀手,4
绝望,4
文科生,4
